id,shop_no,original_name,clean_name,district,excise_range,search_query,google_maps_url,address,latitude,longitude,rating,reviews_count,timings,phone_number,signature_dishes,vibe_summary,geocoded,menu_extracted,verified,website
21,5,Vellakkadav,Vellakkadav,Thiruvananthapuram,Kattakkada,"Vellakkadav Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
22,1,Avaduthura,Avaduthura,Thiruvananthapuram,Kattakkada,"Avaduthura Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
23,2,Poonkulam,Poonkulam,Thiruvananthapuram,Kattakkada,"Poonkulam Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
24,3,Karumam,Karumam,Thiruvananthapuram,Kattakkada,"Karumam Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
25,4,Sisilipuram,Sisilipuram,Thiruvananthapuram,Kattakkada,"Sisilipuram Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
26,5,Nemom,Nemom,Thiruvananthapuram,Kattakkada,"Nemom Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
27,6,Karakkamandapam,Karakkamandapam,Thiruvananthapuram,Kattakkada,"Karakkamandapam Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
28,7,Edagramam,Edagramam,Thiruvananthapuram,Kattakkada,"Edagramam Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
29,8,Ambalathara,Ambalathara,Thiruvananthapuram,Kattakkada,"Ambalathara Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
30,9,Muttathara,Muttathara,Thiruvananthapuram,Kattakkada,"Muttathara Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
31,10,Puthenpalam,Puthenpalam,Thiruvananthapuram,Kattakkada,"Puthenpalam Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
32,11,Sankumugham,Sankumugham,Thiruvananthapuram,Kattakkada,"Sankumugham Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
33,12,Thirumala,Thirumala,Thiruvananthapuram,Kattakkada,"Thirumala Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
34,13,Veli,Veli,Thiruvananthapuram,Kattakkada,"Veli Toddy Shop, Kattakkada, Thiruvananthapuram, Kerala, India",,,,,,,,,,,0,0,0,
